method,id_success_pct,lighting_ood_success_pct,object_ood_success_pct,background_ood_success_pct,speed_ood_success_pct,joint_ood_success_pct
ACT,22.20,10.65,14.90,8.20,17.00,0.10
X-VLA,13.10,17.70,13.20,15.80,19.05,5.85
GR00T N1.7,11.55,14.80,10.00,12.40,10.15,5.30
SmolVLA,6.95,5.30,1.30,5.90,10.70,2.05
π0.5,4.85,2.70,1.40,3.35,7.40,1.65
DP,4.60,1.60,2.15,4.20,12.65,0.00
FastWAM,1.15,1.05,1.55,0.05,1.15,0.00
