condition,task,task_length,DP,ACT,SmolVLA,X-VLA,Pi0.5,GR00T,FastWAM,unit
Background-OOD,CM000,short,0,0,0,0,0,0,0,percent_0_to_100
Background-OOD,CM001,short,34,0,96,100,12,2,0,percent_0_to_100
Background-OOD,CM002,short,12,0,0,4,6,0,0,percent_0_to_100
Background-OOD,CM003,short,0,100,0,76,18,92,0,percent_0_to_100
Background-OOD,CM004,short,0,0,0,0,0,0,0,percent_0_to_100
Background-OOD,CM005,long,0,0,0,0,0,0,0,percent_0_to_100
Background-OOD,CM006,short,0,6,0,0,0,2,0,percent_0_to_100
Background-OOD,CM007,long,0,0,0,0,0,0,0,percent_0_to_100
Background-OOD,CM008,long,0,72,0,0,0,58,0,percent_0_to_100
Background-OOD,CM009,long,0,0,0,0,0,0,0,percent_0_to_100
Background-OOD,FC000,short,0,100,0,62,0,8,0,percent_0_to_100
Background-OOD,FC001,short,0,0,0,90,0,18,0,percent_0_to_100
Background-OOD,FC002,short,0,0,0,0,0,0,0,percent_0_to_100
Background-OOD,FC003,short,0,0,0,52,0,0,0,percent_0_to_100
Background-OOD,FC004,long,0,0,0,0,0,2,0,percent_0_to_100
Background-OOD,FC005,short,0,0,0,8,0,22,0,percent_0_to_100
Background-OOD,FC006,long,0,0,16,4,0,44,0,percent_0_to_100
Background-OOD,FC007,short,0,0,0,4,0,0,0,percent_0_to_100
Background-OOD,FC008,long,0,0,0,0,0,0,0,percent_0_to_100
Background-OOD,FC009,short,0,0,0,22,2,0,0,percent_0_to_100
Background-OOD,HRI000,short,0,0,0,0,2,8,0,percent_0_to_100
Background-OOD,HRI001,short,0,0,0,16,0,0,0,percent_0_to_100
Background-OOD,HRI002,short,0,0,2,6,8,2,0,percent_0_to_100
Background-OOD,HRI003,long,0,0,0,0,0,0,0,percent_0_to_100
Background-OOD,HRI004,long,36,12,16,14,20,0,0,percent_0_to_100
Background-OOD,HRI005,long,0,0,0,4,2,0,0,percent_0_to_100
Background-OOD,HRI006,short,0,0,12,46,0,4,0,percent_0_to_100
Background-OOD,HRI007,long,2,10,10,0,8,28,0,percent_0_to_100
Background-OOD,HRI008,short,0,0,0,0,0,0,0,percent_0_to_100
Background-OOD,HRI009,long,14,0,0,8,0,26,0,percent_0_to_100
Background-OOD,HT000,long,0,0,0,0,0,0,0,percent_0_to_100
Background-OOD,HT001,short,34,16,70,76,38,80,2,percent_0_to_100
Background-OOD,HT002,short,36,12,12,36,12,94,0,percent_0_to_100
Background-OOD,HT003,short,0,0,0,0,6,2,0,percent_0_to_100
Background-OOD,HT004,short,0,0,0,2,0,2,0,percent_0_to_100
Background-OOD,HT005,long,0,0,0,0,0,0,0,percent_0_to_100
Background-OOD,HT006,long,0,0,0,0,0,0,0,percent_0_to_100
Background-OOD,HT007,short,0,0,0,0,0,0,0,percent_0_to_100
Background-OOD,HT008,long,0,0,0,0,0,0,0,percent_0_to_100
Background-OOD,HT009,long,0,0,2,2,0,2,0,percent_0_to_100
Lighting-OOD,CM000,short,0,0,0,0,0,0,0,percent_0_to_100
Lighting-OOD,CM001,short,12,0,76,100,44,40,2,percent_0_to_100
Lighting-OOD,CM002,short,34,6,0,12,0,0,0,percent_0_to_100
Lighting-OOD,CM003,short,6,98,0,74,12,36,0,percent_0_to_100
Lighting-OOD,CM004,short,0,18,0,0,0,0,0,percent_0_to_100
Lighting-OOD,CM005,long,0,0,0,0,0,0,0,percent_0_to_100
Lighting-OOD,CM006,short,0,0,0,0,0,0,0,percent_0_to_100
Lighting-OOD,CM007,long,0,0,0,0,0,0,0,percent_0_to_100
Lighting-OOD,CM008,long,0,58,0,22,0,28,0,percent_0_to_100
Lighting-OOD,CM009,long,0,0,0,0,0,0,0,percent_0_to_100
